source_io_code,source_io_name,target_io_code,target_io_name,value
0112,맥류 및 잡곡,0612,유연탄,0.0
0112,맥류 및 잡곡,0621,원유,3.017200675053535e-05
0112,맥류 및 잡곡,0622,천연가스(LNG),3.516758716735952e-05
0112,맥류 및 잡곡,0711,철광석,2.117438580133826e-05
0112,맥류 및 잡곡,0719,기타 비철금속광석,0.0001008298395539822
0112,맥류 및 잡곡,0721,골재 및 석재,3.548849837159939e-05
0112,맥류 및 잡곡,0722,석회석,4.095260037146109e-05
0112,맥류 및 잡곡,0729,기타 비금속광물,4.055136607044486e-05
0112,맥류 및 잡곡,0811,도축육,0.0003783304981370774
0112,맥류 및 잡곡,0812,가금육,0.000323618807286474
0112,맥류 및 잡곡,0813,육가공품,0.0002891129099140921
0112,맥류 및 잡곡,0814,낙농품,0.0003610260091220796
0112,맥류 및 잡곡,0821,수산물 가공품,0.0001146387770840619
0112,맥류 및 잡곡,0822,수산동물 저장품,5.011380091229079e-05
0112,맥류 및 잡곡,0831,정곡,0.0001255259341512874
0112,맥류 및 잡곡,0832,제분,0.04213370710864878
0112,맥류 및 잡곡,0841,원당,0.0
0112,맥류 및 잡곡,0842,정제당,1.436204395646653e-05
0112,맥류 및 잡곡,0843,전분 및 당류,0.0009123311982916695
0112,맥류 및 잡곡,0851,"떡, 빵 및 과자류",0.002955283530267194
0112,맥류 및 잡곡,0852,면류,0.006529228420415318
0112,맥류 및 잡곡,0861,조미료 및 첨가용식품,0.0005555852381179092
0112,맥류 및 잡곡,0862,유지,0.0006919100224195317
0112,맥류 및 잡곡,0871,과실 및 채소 가공품,0.0003312628289206663
0112,맥류 및 잡곡,0872,커피 및 차류,0.0001155854375147121
0112,맥류 및 잡곡,0873,인삼 및 건강보조 식품,0.0001564646840797354
0112,맥류 및 잡곡,0879,기타 식료품,0.008748952492615342
0112,맥류 및 잡곡,0880,사료,0.0009008689955652194
0112,맥류 및 잡곡,0911,주정,0.007842061644430192
0112,맥류 및 잡곡,0912,소주,0.0009433218065207607
0112,맥류 및 잡곡,0913,맥주,0.008701497848195057
0112,맥류 및 잡곡,0919,기타 주류,0.000221200713041294
0112,맥류 및 잡곡,0920,비알콜음료 및 얼음,0.0001669423469969874
0112,맥류 및 잡곡,1000,담배,5.468270509213082e-06
0112,맥류 및 잡곡,1111,천연 및 화학섬유사,6.044864669276432e-05
0112,맥류 및 잡곡,1119,기타섬유사,9.837506149033272e-05
0112,맥류 및 잡곡,1121,천연 및 화학 섬유직물,7.142242157292499e-05
